"Week","date2014","date2015","date2016","date2017","date2018","date2019","basis2019","basis2018","basis2017","basis2016","basis2015","basis2014","City","Company"
1,2014-01-01,2015-01-07,2016-01-06,2017-01-04,2018-01-03,2019-01-02,-0.85,NA,-0.8025,-0.1975,-0.3525,-0.28,"ADRIAN     MO","WEST CENTRAL AGRA"
2,2014-01-08,2015-01-14,2016-01-13,2017-01-11,2018-01-10,2019-01-09,-0.9,-0.6975,-0.805,-0.2,-0.3525,-0.1025,"ADRIAN     MO","WEST CENTRAL AGRA"
3,2014-01-15,2015-01-21,2016-01-20,2017-01-18,2018-01-17,2019-01-16,-0.905,-0.65,-0.8025,-0.25,-0.325,-0.09,"ADRIAN     MO","WEST CENTRAL AGRA"
4,2014-01-22,2015-01-28,2016-01-27,2017-01-25,2018-01-24,2019-01-23,-0.9,-0.6,-0.805,-0.25,-0.3525,-0.17,"ADRIAN     MO","WEST CENTRAL AGRA"
5,2014-02-05,2015-02-04,2016-02-03,2017-02-01,2018-02-07,2019-02-06,NA,-0.6025,-0.7475,-0.2475,-0.41,0.0275,"ADRIAN     MO","WEST CENTRAL AGRA"
6,2014-02-12,2015-02-11,2016-02-10,2017-02-08,2018-02-14,2019-02-13,NA,-0.6525,-0.7475,-0.25,-0.3475,-0.15,"ADRIAN     MO","WEST CENTRAL AGRA"
7,2014-02-19,2015-02-18,2016-02-17,2017-02-15,2018-02-21,2019-02-20,NA,-0.65,-0.7525,-0.255,-0.2975,-0.1525,"ADRIAN     MO","WEST CENTRAL AGRA"
8,2014-02-26,2015-02-25,2016-02-24,2017-02-22,2018-02-28,2019-02-27,NA,-0.7525,-0.7475,-0.2975,-0.2975,-0.2525,"ADRIAN     MO","WEST CENTRAL AGRA"
9,2014-03-05,2015-03-04,2016-03-02,2017-03-01,2018-03-07,2019-03-06,-0.85,-0.8525,-0.6475,-0.374,-0.3225,-0.195,"ADRIAN     MO","WEST CENTRAL AGRA"
10,2014-03-12,2015-03-11,2016-03-09,2017-03-08,2018-03-14,2019-03-13,-0.85,-0.7975,-0.6475,-0.3475,-0.3275,-0.21,"ADRIAN     MO","WEST CENTRAL AGRA"
11,2014-03-19,2015-03-18,2016-03-16,2017-03-15,2018-03-21,2019-03-20,-0.845,-0.8,-0.7,-0.345,-0.33,-0.2025,"ADRIAN     MO","WEST CENTRAL AGRA"
12,2014-03-26,2015-03-25,2016-03-23,2017-03-22,2018-03-28,2019-03-27,-0.845,-0.6525,-0.7988,-0.3513,-0.2975,-0.2,"ADRIAN     MO","WEST CENTRAL AGRA"
13,2014-04-02,2015-04-01,2016-04-06,2017-04-05,2018-04-04,2019-04-03,-0.7475,-0.6475,-0.7525,-0.4,-0.2475,-0.1525,"ADRIAN     MO","WEST CENTRAL AGRA"
14,2014-04-09,2015-04-08,2016-04-13,2017-04-12,2018-04-11,2019-04-10,-0.75,-0.6475,-0.7475,-0.3975,-0.255,-0.1325,"ADRIAN     MO","WEST CENTRAL AGRA"
15,2014-04-16,2015-04-15,2016-04-20,2017-04-19,2018-04-18,2019-04-17,-0.75,-0.645,-0.6025,-0.3575,-0.25,-0.0975,"ADRIAN     MO","WEST CENTRAL AGRA"
16,2014-04-23,2015-04-22,2016-04-27,2017-04-26,2018-04-25,2019-04-24,-0.7525,-0.7,-0.5975,-0.55,-0.23,-0.1113,"ADRIAN     MO","WEST CENTRAL AGRA"
17,2014-05-07,2015-05-06,2016-05-04,2017-05-03,2018-05-02,2019-05-01,NA,-0.6975,NA,-0.65,-0.115,-0.1025,"ADRIAN     MO","WEST CENTRAL AGRA"
18,2014-05-14,2015-05-13,2016-05-11,2017-05-10,2018-05-09,2019-05-08,-0.6975,-0.5475,NA,-0.6525,-0.1125,0.0025,"ADRIAN     MO","WEST CENTRAL AGRA"
19,2014-05-21,2015-05-20,2016-05-18,2017-05-17,2018-05-16,2019-05-15,-0.695,-0.5513,NA,-0.6525,-0.1125,0.0475,"ADRIAN     MO","WEST CENTRAL AGRA"
20,2014-05-28,2015-05-27,2016-05-25,2017-05-24,2018-05-23,2019-05-22,-0.7025,-0.5525,-0.6513,-0.645,-0.11,0.05,"ADRIAN     MO","WEST CENTRAL AGRA"
21,2014-06-04,2015-06-03,2016-06-01,2017-06-07,2018-06-06,2019-06-05,-0.6975,-0.55,NA,NA,-0.1425,-0.205,"ADRIAN     MO","WEST CENTRAL AGRA"
22,2014-06-11,2015-06-10,2016-06-08,2017-06-14,2018-06-13,2019-06-12,-0.7,-0.555,-0.5975,-0.6475,-0.155,-0.175,"ADRIAN     MO","WEST CENTRAL AGRA"
23,2014-06-18,2015-06-17,2016-06-15,2017-06-21,2018-06-20,2019-06-19,-0.7025,-0.545,-0.5975,-0.65,-0.15,-0.12,"ADRIAN     MO","WEST CENTRAL AGRA"
24,2014-06-25,2015-06-24,2016-06-22,2017-06-28,2018-06-27,2019-06-26,-0.7025,-0.5025,-0.5,-0.655,-0.1475,-0.0875,"ADRIAN     MO","WEST CENTRAL AGRA"
25,2014-07-02,2015-07-01,2016-07-06,2017-07-05,2018-07-04,2019-07-03,-0.6975,-0.5,NA,-0.585,-0.1975,NA,"ADRIAN     MO","WEST CENTRAL AGRA"
26,2014-07-09,2015-07-08,2016-07-13,2017-07-12,2018-07-11,2019-07-10,-0.695,-0.5025,-0.7475,-0.4775,-0.0275,0.335,"ADRIAN     MO","WEST CENTRAL AGRA"
27,2014-07-16,2015-07-15,2016-07-20,2017-07-19,2018-07-18,2019-07-17,-0.695,-0.4975,-0.7475,-0.4125,-0.2025,0.3975,"ADRIAN     MO","WEST CENTRAL AGRA"
28,2014-07-23,2015-07-22,2016-07-27,2017-07-26,2018-07-25,2019-07-24,-0.7,-0.545,-0.7475,-0.5375,-0.2488,0.3125,"ADRIAN     MO","WEST CENTRAL AGRA"
29,2014-08-06,2015-08-05,2016-08-03,2017-08-02,2018-08-01,2019-08-07,-0.72,-0.5375,-0.8,-0.585,-0.0475,0.835,"ADRIAN     MO","WEST CENTRAL AGRA"
30,2014-08-13,2015-08-12,2016-08-10,2017-08-09,2018-08-08,2019-08-14,-0.725,NA,-0.8,-0.545,-0.035,0.585,"ADRIAN     MO","WEST CENTRAL AGRA"
31,2014-08-20,2015-08-19,2016-08-17,2017-08-16,2018-08-15,2019-08-21,-0.725,-0.5525,-0.7975,-0.545,-0.045,0.1825,"ADRIAN     MO","WEST CENTRAL AGRA"
32,2014-08-27,2015-08-26,2016-08-24,2017-08-23,2018-08-22,2019-08-28,-0.7175,NA,-0.8,-0.6138,0.05,0.3825,"ADRIAN     MO","WEST CENTRAL AGRA"
33,2014-09-03,2015-09-02,2016-09-07,2017-09-06,2018-09-05,2019-09-04,-0.895,NA,-0.9,-0.695,NA,-0.65,"ADRIAN     MO","WEST CENTRAL AGRA"
34,2014-09-10,2015-09-09,2016-09-14,2017-09-13,2018-09-12,2019-09-11,-0.905,NA,-0.895,-0.6975,NA,-0.7475,"ADRIAN     MO","WEST CENTRAL AGRA"
35,2014-09-17,2015-09-16,2016-09-21,2017-09-20,2018-09-19,2019-09-18,-0.8975,NA,-0.9,-0.745,NA,-0.855,"ADRIAN     MO","WEST CENTRAL AGRA"
36,2014-09-24,2015-09-23,2016-09-28,2017-09-27,2018-09-26,2019-09-25,-0.9025,NA,-0.805,-0.805,NA,-0.8475,"ADRIAN     MO","WEST CENTRAL AGRA"
37,2014-10-01,2015-10-07,2016-10-05,2017-10-04,2018-10-03,2019-10-02,-0.8975,NA,-0.8025,-0.7975,-0.5,-0.8975,"ADRIAN     MO","WEST CENTRAL AGRA"
38,2014-10-08,2015-10-14,2016-10-12,2017-10-11,2018-10-10,2019-10-09,-0.7975,NA,-0.7525,-0.795,-0.495,-0.9,"ADRIAN     MO","WEST CENTRAL AGRA"
39,2014-10-15,2015-10-21,2016-10-19,2017-10-18,2018-10-17,2019-10-16,-0.75,-0.9,-0.8025,-0.755,-0.45,-0.895,"ADRIAN     MO","WEST CENTRAL AGRA"
40,2014-10-22,2015-10-28,2016-10-26,2017-10-25,2018-10-24,2019-10-23,-0.7475,-0.905,-0.845,-0.8,-0.445,-0.9038,"ADRIAN     MO","WEST CENTRAL AGRA"
41,2014-11-05,2015-11-04,2016-11-02,2017-11-01,2018-11-07,2019-11-06,NA,-0.895,-0.8225,-0.895,-0.32,-0.9025,"ADRIAN     MO","WEST CENTRAL AGRA"
42,2014-11-12,2015-11-11,2016-11-09,2017-11-08,2018-11-14,2019-11-13,NA,-0.85,-0.805,-1.05,-0.2975,-0.8575,"ADRIAN     MO","WEST CENTRAL AGRA"
43,2014-11-19,2015-11-18,2016-11-16,2017-11-15,2018-11-21,2019-11-20,NA,-0.855,-0.8025,-1.0475,-0.2975,-0.7975,"ADRIAN     MO","WEST CENTRAL AGRA"
44,2014-11-26,2015-11-25,2016-11-23,2017-11-22,2018-11-28,2019-11-27,NA,-0.805,-0.7888,-1.0525,-0.3025,-0.55,"ADRIAN     MO","WEST CENTRAL AGRA"
45,2014-12-03,2015-12-02,2016-12-07,2017-12-06,2018-12-05,2019-12-04,NA,-0.8,-0.7775,-0.85,-0.3025,-0.5425,"ADRIAN     MO","WEST CENTRAL AGRA"
46,2014-12-10,2015-12-09,2016-12-14,2017-12-13,2018-12-12,2019-12-11,NA,-0.8,-0.7825,-0.85,-0.2775,-0.55,"ADRIAN     MO","WEST CENTRAL AGRA"
47,2014-12-17,2015-12-16,2016-12-21,2017-12-20,2018-12-19,2019-12-18,NA,-0.8,-0.78,-0.8475,-0.215,-0.45,"ADRIAN     MO","WEST CENTRAL AGRA"
48,2014-12-24,2015-12-23,2016-12-28,2017-12-27,2018-12-26,2019-12-25,NA,NA,-0.775,-0.8475,-0.2163,-0.4575,"ADRIAN     MO","WEST CENTRAL AGRA"
1,2014-01-01,2015-01-07,2016-01-06,2017-01-04,2018-01-03,2019-01-02,-0.95,-0.7075,-0.9525,NA,NA,NA,"ADRIAN MO","SCOULAR"
2,2014-01-08,2015-01-14,2016-01-13,2017-01-11,2018-01-10,2019-01-09,-0.89,-0.8,-0.945,NA,NA,NA,"ADRIAN MO","SCOULAR"
3,2014-01-15,2015-01-21,2016-01-20,2017-01-18,2018-01-17,2019-01-16,-0.895,-0.7975,-0.9025,-0.3975,NA,NA,"ADRIAN MO","SCOULAR"
4,2014-01-22,2015-01-28,2016-01-27,2017-01-25,2018-01-24,2019-01-23,-0.9,-0.725,-0.895,-0.4,NA,NA,"ADRIAN MO","SCOULAR"
5,2014-02-05,2015-02-04,2016-02-03,2017-02-01,2018-02-07,2019-02-06,NA,-0.65,-0.8975,-0.395,NA,NA,"ADRIAN MO","SCOULAR"
6,2014-02-12,2015-02-11,2016-02-10,2017-02-08,2018-02-14,2019-02-13,-0.795,-0.6525,-0.8975,-0.3975,NA,NA,"ADRIAN MO","SCOULAR"
7,2014-02-19,2015-02-18,2016-02-17,2017-02-15,2018-02-21,2019-02-20,-0.795,-0.6525,-0.9025,-0.394,NA,NA,"ADRIAN MO","SCOULAR"
8,2014-02-26,2015-02-25,2016-02-24,2017-02-22,2018-02-28,2019-02-27,-0.795,-0.64,-0.8975,-0.3975,NA,NA,"ADRIAN MO","SCOULAR"
9,2014-03-05,2015-03-04,2016-03-02,2017-03-01,2018-03-07,2019-03-06,-0.9,-0.7525,-0.7975,-0.395,NA,NA,"ADRIAN MO","SCOULAR"
10,2014-03-12,2015-03-11,2016-03-09,2017-03-08,2018-03-14,2019-03-13,-0.9,-0.7525,-0.8075,-0.4013,NA,NA,"ADRIAN MO","SCOULAR"
11,2014-03-19,2015-03-18,2016-03-16,2017-03-15,2018-03-21,2019-03-20,-0.895,-0.7475,-0.8,-0.4,NA,NA,"ADRIAN MO","SCOULAR"
12,2014-03-26,2015-03-25,2016-03-23,2017-03-22,2018-03-28,2019-03-27,-0.895,-0.75,-0.7988,-0.3975,NA,NA,"ADRIAN MO","SCOULAR"
13,2014-04-02,2015-04-01,2016-04-06,2017-04-05,2018-04-04,2019-04-03,-0.7975,-0.6525,NA,-0.0075,NA,NA,"ADRIAN MO","SCOULAR"
14,2014-04-09,2015-04-08,2016-04-13,2017-04-12,2018-04-11,2019-04-10,-0.8,-0.6475,NA,-0.6,NA,NA,"ADRIAN MO","SCOULAR"
15,2014-04-16,2015-04-15,2016-04-20,2017-04-19,2018-04-18,2019-04-17,-0.8,-0.6475,NA,-0.58,NA,NA,"ADRIAN MO","SCOULAR"
16,2014-04-23,2015-04-22,2016-04-27,2017-04-26,2018-04-25,2019-04-24,-0.8025,-0.645,NA,-0.5825,NA,NA,"ADRIAN MO","SCOULAR"
17,2014-05-07,2015-05-06,2016-05-04,2017-05-03,2018-05-02,2019-05-01,-0.9275,-0.7,NA,-0.5825,NA,NA,"ADRIAN MO","SCOULAR"
18,2014-05-14,2015-05-13,2016-05-11,2017-05-10,2018-05-09,2019-05-08,-0.7475,-0.6975,NA,-0.595,NA,NA,"ADRIAN MO","SCOULAR"
19,2014-05-21,2015-05-20,2016-05-18,2017-05-17,2018-05-16,2019-05-15,-0.745,-0.6975,NA,-0.6075,NA,NA,"ADRIAN MO","SCOULAR"
20,2014-05-28,2015-05-27,2016-05-25,2017-05-24,2018-05-23,2019-05-22,-0.7475,-0.5513,NA,-0.6975,NA,NA,"ADRIAN MO","SCOULAR"
21,2014-06-04,2015-06-03,2016-06-01,2017-06-07,2018-06-06,2019-06-05,-0.7475,-0.5525,NA,-0.7,NA,NA,"ADRIAN MO","SCOULAR"
22,2014-06-11,2015-06-10,2016-06-08,2017-06-14,2018-06-13,2019-06-12,-0.75,-0.55,NA,-0.605,NA,NA,"ADRIAN MO","SCOULAR"
23,2014-06-18,2015-06-17,2016-06-15,2017-06-21,2018-06-20,2019-06-19,-0.7425,-0.545,NA,-0.485,NA,NA,"ADRIAN MO","SCOULAR"
24,2014-06-25,2015-06-24,2016-06-22,2017-06-28,2018-06-27,2019-06-26,-0.7525,-0.545,NA,-0.3775,NA,NA,"ADRIAN MO","SCOULAR"
25,2014-07-02,2015-07-01,2016-07-06,2017-07-05,2018-07-04,2019-07-03,NA,-0.5425,NA,-0.3125,NA,NA,"ADRIAN MO","SCOULAR"
26,2014-07-09,2015-07-08,2016-07-13,2017-07-12,2018-07-11,2019-07-10,NA,-0.55,NA,-0.3375,NA,NA,"ADRIAN MO","SCOULAR"
27,2014-07-16,2015-07-15,2016-07-20,2017-07-19,2018-07-18,2019-07-17,NA,-0.5425,NA,-0.575,NA,NA,"ADRIAN MO","SCOULAR"
28,2014-07-23,2015-07-22,2016-07-27,2017-07-26,2018-07-25,2019-07-24,NA,-0.5475,NA,-0.525,NA,NA,"ADRIAN MO","SCOULAR"
29,2014-08-06,2015-08-05,2016-08-03,2017-08-02,2018-08-01,2019-08-07,NA,-0.595,NA,-0.545,NA,NA,"ADRIAN MO","SCOULAR"
30,2014-08-13,2015-08-12,2016-08-10,2017-08-09,2018-08-08,2019-08-14,NA,-0.5975,NA,-0.6575,NA,NA,"ADRIAN MO","SCOULAR"
31,2014-08-20,2015-08-19,2016-08-17,2017-08-16,2018-08-15,2019-08-21,NA,-0.605,NA,-0.685,NA,NA,"ADRIAN MO","SCOULAR"
32,2014-08-27,2015-08-26,2016-08-24,2017-08-23,2018-08-22,2019-08-28,NA,-0.4775,NA,-0.6975,NA,NA,"ADRIAN MO","SCOULAR"
33,2014-09-03,2015-09-02,2016-09-07,2017-09-06,2018-09-05,2019-09-04,NA,-0.75,NA,-0.845,NA,NA,"ADRIAN MO","SCOULAR"
34,2014-09-10,2015-09-09,2016-09-14,2017-09-13,2018-09-12,2019-09-11,-0.865,-0.75,NA,-0.845,NA,NA,"ADRIAN MO","SCOULAR"
35,2014-09-17,2015-09-16,2016-09-21,2017-09-20,2018-09-19,2019-09-18,-0.8475,-0.8,NA,-0.8475,NA,NA,"ADRIAN MO","SCOULAR"
36,2014-09-24,2015-09-23,2016-09-28,2017-09-27,2018-09-26,2019-09-25,-0.8525,-0.85,-0.795,-0.835,NA,NA,"ADRIAN MO","SCOULAR"
37,2014-10-01,2015-10-07,2016-10-05,2017-10-04,2018-10-03,2019-10-02,-0.8475,-0.895,-0.8025,-0.845,NA,NA,"ADRIAN MO","SCOULAR"
38,2014-10-08,2015-10-14,2016-10-12,2017-10-11,2018-10-10,2019-10-09,-0.8475,-0.9025,-0.8025,-0.8,NA,NA,"ADRIAN MO","SCOULAR"
39,2014-10-15,2015-10-21,2016-10-19,2017-10-18,2018-10-17,2019-10-16,-0.85,-0.8975,-0.8025,-0.945,NA,NA,"ADRIAN MO","SCOULAR"
40,2014-10-22,2015-10-28,2016-10-26,2017-10-25,2018-10-24,2019-10-23,-0.7475,-0.9213,-0.745,-1,NA,NA,"ADRIAN MO","SCOULAR"
41,2014-11-05,2015-11-04,2016-11-02,2017-11-01,2018-11-07,2019-11-06,NA,-0.955,-0.8025,-0.9975,NA,NA,"ADRIAN MO","SCOULAR"
42,2014-11-12,2015-11-11,2016-11-09,2017-11-08,2018-11-14,2019-11-13,NA,-0.945,-0.795,-1.0025,NA,NA,"ADRIAN MO","SCOULAR"
43,2014-11-19,2015-11-18,2016-11-16,2017-11-15,2018-11-21,2019-11-20,NA,-0.9,-0.8025,-1,NA,NA,"ADRIAN MO","SCOULAR"
44,2014-11-26,2015-11-25,2016-11-23,2017-11-22,2018-11-28,2019-11-27,NA,-0.895,-0.7988,-1,NA,NA,"ADRIAN MO","SCOULAR"
45,2014-12-03,2015-12-02,2016-12-07,2017-12-06,2018-12-05,2019-12-04,NA,-0.845,-0.7975,-0.9975,NA,NA,"ADRIAN MO","SCOULAR"
46,2014-12-10,2015-12-09,2016-12-14,2017-12-13,2018-12-12,2019-12-11,NA,-0.85,-0.8025,-0.9975,NA,NA,"ADRIAN MO","SCOULAR"
47,2014-12-17,2015-12-16,2016-12-21,2017-12-20,2018-12-19,2019-12-18,NA,-0.85,-0.8,NA,NA,NA,"ADRIAN MO","SCOULAR"
48,2014-12-24,2015-12-23,2016-12-28,2017-12-27,2018-12-26,2019-12-25,NA,-0.85,-0.795,NA,NA,NA,"ADRIAN MO","SCOULAR"
1,2014-01-01,2015-01-07,2016-01-06,2017-01-04,2018-01-03,2019-01-02,-0.83,-0.6975,-0.8525,-0.3675,-0.5925,NA,"ALBANY    MO","MFA"
2,2014-01-08,2015-01-14,2016-01-13,2017-01-11,2018-01-10,2019-01-09,-0.8,-0.79,-0.845,-0.37,-0.5825,-0.39,"ALBANY    MO","MFA"
3,2014-01-15,2015-01-21,2016-01-20,2017-01-18,2018-01-17,2019-01-16,-0.805,-0.7875,-0.8525,-0.37,-0.555,-0.42,"ALBANY    MO","MFA"
4,2014-01-22,2015-01-28,2016-01-27,2017-01-25,2018-01-24,2019-01-23,-0.8,-0.79,-0.855,-0.37,-0.5825,-0.2025,"ALBANY    MO","MFA"
5,2014-02-05,2015-02-04,2016-02-03,2017-02-01,2018-02-07,2019-02-06,-0.8475,-0.74,-0.8275,-0.3275,-0.61,-0.38,"ALBANY    MO","MFA"
6,2014-02-12,2015-02-11,2016-02-10,2017-02-08,2018-02-14,2019-02-13,-0.855,-0.7425,-0.8275,-0.33,-0.5975,-0.3825,"ALBANY    MO","MFA"
7,2014-02-19,2015-02-18,2016-02-17,2017-02-15,2018-02-21,2019-02-20,-0.845,-0.7425,-0.8325,-0.335,-0.5975,-0.5025,"ALBANY    MO","MFA"
8,2014-02-26,2015-02-25,2016-02-24,2017-02-22,2018-02-28,2019-02-27,-0.805,-0.74,-0.8275,-0.3275,-0.5975,-0.445,"ALBANY    MO","MFA"
9,2014-03-05,2015-03-04,2016-03-02,2017-03-01,2018-03-07,2019-03-06,-0.92,-0.7825,-0.9275,-0.384,-0.6625,-0.49,"ALBANY    MO","MFA"
10,2014-03-12,2015-03-11,2016-03-09,2017-03-08,2018-03-14,2019-03-13,-0.8,-0.7825,-0.9275,-0.3775,-0.6375,-0.4825,"ALBANY    MO","MFA"
11,2014-03-19,2015-03-18,2016-03-16,2017-03-15,2018-03-21,2019-03-20,-0.805,-0.7775,-0.93,-0.385,-0.49,-0.25,"ALBANY    MO","MFA"
12,2014-03-26,2015-03-25,2016-03-23,2017-03-22,2018-03-28,2019-03-27,-0.805,-0.78,-0.8288,-0.3813,-0.4875,-0.4025,"ALBANY    MO","MFA"
13,2014-04-02,2015-04-01,2016-04-06,2017-04-05,2018-04-04,2019-04-03,-0.7475,-0.7825,-0.7625,-0.44,-0.4875,-0.4325,"ALBANY    MO","MFA"
14,2014-04-09,2015-04-08,2016-04-13,2017-04-12,2018-04-11,2019-04-10,-0.75,-0.7775,-0.7575,-0.4675,-0.495,-0.3975,"ALBANY    MO","MFA"
15,2014-04-16,2015-04-15,2016-04-20,2017-04-19,2018-04-18,2019-04-17,-0.75,-0.6475,-0.7625,-0.4575,-0.49,-0.4113,"ALBANY    MO","MFA"
16,2014-04-23,2015-04-22,2016-04-27,2017-04-26,2018-04-25,2019-04-24,-0.7525,-0.645,-0.7575,-0.62,-0.47,-0.1025,"ALBANY    MO","MFA"
17,2014-05-07,2015-05-06,2016-05-04,2017-05-03,2018-05-02,2019-05-01,-0.7975,-0.7,-0.6925,-0.67,-0.415,-0.0975,"ALBANY    MO","MFA"
18,2014-05-14,2015-05-13,2016-05-11,2017-05-10,2018-05-09,2019-05-08,-0.7975,-0.6975,-0.6925,-0.6725,-0.3125,-0.1025,"ALBANY    MO","MFA"
19,2014-05-21,2015-05-20,2016-05-18,2017-05-17,2018-05-16,2019-05-15,-0.795,-0.6975,-0.686,-0.6725,-0.4325,-0.2,"ALBANY    MO","MFA"
20,2014-05-28,2015-05-27,2016-05-25,2017-05-24,2018-05-23,2019-05-22,-0.7975,-0.7013,-0.6913,-0.665,-0.43,-0.455,"ALBANY    MO","MFA"
21,2014-06-04,2015-06-03,2016-06-01,2017-06-07,2018-06-06,2019-06-05,-0.7975,NA,-0.6275,-0.6275,-0.3225,-0.425,"ALBANY    MO","MFA"
22,2014-06-11,2015-06-10,2016-06-08,2017-06-14,2018-06-13,2019-06-12,-0.8,-0.5,-0.6275,-0.7575,-0.335,-0.32,"ALBANY    MO","MFA"
23,2014-06-18,2015-06-17,2016-06-15,2017-06-21,2018-06-20,2019-06-19,-0.8025,-0.505,-0.6275,-0.76,-0.33,-0.3375,"ALBANY    MO","MFA"
24,2014-06-25,2015-06-24,2016-06-22,2017-06-28,2018-06-27,2019-06-26,-0.8025,-0.495,-0.63,-0.655,-0.3275,0.3625,"ALBANY    MO","MFA"
25,2014-07-02,2015-07-01,2016-07-06,2017-07-05,2018-07-04,2019-07-03,-0.8475,NA,-0.5975,-0.565,-0.3275,0.135,"ALBANY    MO","MFA"
26,2014-07-09,2015-07-08,2016-07-13,2017-07-12,2018-07-11,2019-07-10,-0.845,-0.5,-0.5975,-0.5675,-0.1575,-0.7525,"ALBANY    MO","MFA"
27,2014-07-16,2015-07-15,2016-07-20,2017-07-19,2018-07-18,2019-07-17,-0.855,-0.5025,-0.5975,-0.5025,-0.3325,-0.3975,"ALBANY    MO","MFA"
28,2014-07-23,2015-07-22,2016-07-27,2017-07-26,2018-07-25,2019-07-24,-0.85,-0.4975,-0.5975,-0.8175,-0.3287,-0.815,"ALBANY    MO","MFA"
29,2014-08-06,2015-08-05,2016-08-03,2017-08-02,2018-08-01,2019-08-07,-0.8,-0.495,NA,NA,-0.6975,-0.965,"ALBANY    MO","MFA"
30,2014-08-13,2015-08-12,2016-08-10,2017-08-09,2018-08-08,2019-08-14,-0.805,-0.5975,-0.62,NA,-0.685,-1.4675,"ALBANY    MO","MFA"
31,2014-08-20,2015-08-19,2016-08-17,2017-08-16,2018-08-15,2019-08-21,-0.795,-0.605,-0.6575,NA,-0.695,-1.2675,"ALBANY    MO","MFA"
32,2014-08-27,2015-08-26,2016-08-24,2017-08-23,2018-08-22,2019-08-28,-0.7975,-0.6025,-0.625,NA,-0.6,-1.02,"ALBANY    MO","MFA"
33,2014-09-03,2015-09-02,2016-09-07,2017-09-06,2018-09-05,2019-09-04,-0.895,NA,-0.69,NA,-0.13,-0.8975,"ALBANY    MO","MFA"
34,2014-09-10,2015-09-09,2016-09-14,2017-09-13,2018-09-12,2019-09-11,-0.905,NA,-0.685,NA,-0.3325,-0.905,"ALBANY    MO","MFA"
35,2014-09-17,2015-09-16,2016-09-21,2017-09-20,2018-09-19,2019-09-18,-0.8975,NA,-0.69,NA,-0.4425,NA,"ALBANY    MO","MFA"
36,2014-09-24,2015-09-23,2016-09-28,2017-09-27,2018-09-26,2019-09-25,-0.9025,NA,-0.695,NA,-0.4287,NA,"ALBANY    MO","MFA"
37,2014-10-01,2015-10-07,2016-10-05,2017-10-04,2018-10-03,2019-10-02,-0.7475,-0.795,-0.7925,-0.6775,-0.52,-0.95,"ALBANY    MO","MFA"
38,2014-10-08,2015-10-14,2016-10-12,2017-10-11,2018-10-10,2019-10-09,-0.7475,-0.8025,-0.7925,-0.675,-0.475,-0.845,"ALBANY    MO","MFA"
39,2014-10-15,2015-10-21,2016-10-19,2017-10-18,2018-10-17,2019-10-16,-0.75,-0.7975,-0.7925,-0.655,-0.47,-0.9038,"ALBANY    MO","MFA"
40,2014-10-22,2015-10-28,2016-10-26,2017-10-25,2018-10-24,2019-10-23,-0.7975,-0.8663,-0.755,-0.73,-0.475,-0.8525,"ALBANY    MO","MFA"
41,2014-11-05,2015-11-04,2016-11-02,2017-11-01,2018-11-07,2019-11-06,NA,-0.905,-0.9625,-0.805,-0.51,-0.7075,"ALBANY    MO","MFA"
42,2014-11-12,2015-11-11,2016-11-09,2017-11-08,2018-11-14,2019-11-13,NA,-0.745,-0.935,-0.92,-0.3975,-0.7475,"ALBANY    MO","MFA"
43,2014-11-19,2015-11-18,2016-11-16,2017-11-15,2018-11-21,2019-11-20,NA,-0.65,-0.9325,-0.8975,-0.3275,-0.75,"ALBANY    MO","MFA"
44,2014-11-26,2015-11-25,2016-11-23,2017-11-22,2018-11-28,2019-11-27,NA,-0.655,-0.8588,-0.9025,-0.3725,-0.7425,"ALBANY    MO","MFA"
45,2014-12-03,2015-12-02,2016-12-07,2017-12-06,2018-12-05,2019-12-04,NA,-0.655,-0.7175,-0.8,-0.3725,-0.75,"ALBANY    MO","MFA"
46,2014-12-10,2015-12-09,2016-12-14,2017-12-13,2018-12-12,2019-12-11,NA,-0.65,-0.7225,-0.8,-0.3975,-0.75,"ALBANY    MO","MFA"
47,2014-12-17,2015-12-16,2016-12-21,2017-12-20,2018-12-19,2019-12-18,NA,-0.7,-0.72,-0.7975,-0.365,-0.7325,"ALBANY    MO","MFA"
48,2014-12-24,2015-12-23,2016-12-28,2017-12-27,2018-12-26,2019-12-25,NA,-0.7,-0.725,-0.7975,-0.3663,NA,"ALBANY    MO","MFA"
1,2014-01-01,2015-01-07,2016-01-06,2017-01-04,2018-01-03,2019-01-02,-0.82,-0.7075,-0.7925,NA,NA,NA,"ALBANY MO","GFG AG SERVICES"
2,2014-01-08,2015-01-14,2016-01-13,2017-01-11,2018-01-10,2019-01-09,-0.79,-0.75,-0.795,NA,NA,NA,"ALBANY MO","GFG AG SERVICES"
3,2014-01-15,2015-01-21,2016-01-20,2017-01-18,2018-01-17,2019-01-16,-0.795,-0.7475,-0.8425,-0.3475,NA,NA,"ALBANY MO","GFG AG SERVICES"
4,2014-01-22,2015-01-28,2016-01-27,2017-01-25,2018-01-24,2019-01-23,-0.8,-0.68,-0.845,-0.34,NA,NA,"ALBANY MO","GFG AG SERVICES"
5,2014-02-05,2015-02-04,2016-02-03,2017-02-01,2018-02-07,2019-02-06,-0.7475,-0.66,NA,-0.345,NA,NA,"ALBANY MO","GFG AG SERVICES"
