"SEDALIA   MO - TYSON FOODS - Corn Basis"
"Week
","2019
","2018
","2017
","2015
","2014
"
1,,,,,
2,,,,,
3,,,,,
4,,,-0.0775,,
5,0.0450,-0.3825,-0.15,,
6,0.0450,-0.3075,-0.15,,
7,0.0475,,,,
8,0.0525,,,,
9,0.2125,-0.25,,,
10,0.2125,-0.25,,,
11,0.2075,-0.25,,,
12,0.2125,-0.245,,,
13,0.1860,-0.24,,,
14,0.0475,-0.2275,,,
15,0.0450,-0.2025,,,
16,0.0525,-0.145,,,
17,0.0725,-0.1035,,,
18,0.0700,-0.1,,,
19,0.0700,-0.1025,,,
20,0.0675,-0.055,,,
21,0.1125,-0.1025,,,
22,0.1400,-0.1,,,
23,,-0.1025,,,
24,,-0.1025,,,
25,,-0.05,,,
26,,0.0975,,,
27,,0.1050,,,
28,,-0.0488,-0.205,,
29,0.2950,0.0975,-0.1525,,
30,0.0500,0.1450,-0.25,,
31,0.0475,0.1525,-0.245,,
32,0.0475,0.1500,-0.25,,
33,,,-0.25,,
34,,,-0.2025,,
35,,,-0.28,,
36,,0.0025,,,
37,,-0.0025,,,
38,,0.0000,-0.1525,,
39,,,-0.1525,,
40,,,-0.1525,,
41,,-0.0025,-0.1513,,
42,,,-0.2475,,
43,,,-0.25,,
44,,,-0.2525,,
45,,,-0.2475,,
46,,,,,
47,,,,,
48,,,,,
